REG_NUMBER	BALANCE_SHEET_YEAR	BALANCE_SHEET_ITEM	BALANCE_SHEET_ITEM_VALUE
A01005529	2024	10000	68786901.54
A01005529	2024	11000	14036169.39
A01005529	2024	11200	137965.57
A01005529	2024	11300	6354864.54
A01005529	2024	11400	495479
A01005529	2024	11500	7047860.28
A01005529	2024	12000	54750732.15
A01005529	2024	12200	10551.76
A01005529	2024	12300	97532.21
A01005529	2024	12380	95418.6
A01005529	2024	12382	95418.6
A01005529	2024	12390	2113.61
A01005529	2024	12400	337433.62
A01005529	2024	12500	53869996.31
A01005529	2024	12700	435218.25
A01005529	2024	20000	60661267.38
A01005529	2024	21000	60661267.38
A01005529	2024	21100	227165.98
A01005529	2024	21110	227165.98
A01005529	2024	21200	21972443.6
A01005529	2024	21300	44491448.77
A01005529	2024	21400	-7851614.72
A01005529	2024	21500	-1651277.19
A01005529	2024	21700	3473100.94
A01005529	2024	30000	68786901.54
A01005529	2024	31000	7404745.46
A01005529	2024	31200	7404745.46
A01005529	2024	31290	7404745.46
A01005529	2024	32000	720888.7
A01005529	2024	32500	720888.7
A01005529	2024	32580	16837.8
A01005529	2024	32582	16837.8
A01005529	2024	32590	704050.9
A01005529	2024	40100	628298.41
A01005529	2024	40600	-244620.83
A01005529	2024	40700	-405048.88
A01005529	2024	40800	-190795.54
A01005529	2024	41000	5800
A01005529	2024	41100	232117.68
A01005529	2024	41400	300775.92
A01005529	2024	41490	300775.92
A01005529	2024	41500	-160794.13
A01005529	2024	41600	3673284.03
A01005529	2024	41800	722517.88
A01005529	2024	41900	-1088433.6
A01005529	2024	49100	25750.84
A01005529	2024	49200	4535783.7
A01005529	2024	49300	4561534.54
A01005529	2024	49500	3473100.94
A01005529	2024	91000	3473100.94
A01005529	2024	91004	3473100.94
A01005529	2024	91008	1821823.75
A01005529	2024	91011	1651277.19
A01005529	2024	91012	3473100.94
A01006394	2025	10000	8703000
A01006394	2025	11000	3000
A01006394	2025	11200	3000
A01006394	2025	12000	8700000
A01006394	2025	12300	188000
A01006394	2025	12380	188000
A01006394	2025	12382	188000
A01006394	2025	12400	8488000
A01006394	2025	12600	1000
A01006394	2025	12700	23000
A01006394	2025	20000	8290000
A01006394	2025	21000	8290000
A01006394	2025	21100	8276000
A01006394	2025	21110	8276000
A01006394	2025	21300	55000
A01006394	2025	21500	-29000
A01006394	2025	21700	-12000
A01006394	2025	30000	8703000
A01006394	2025	32000	413000
A01006394	2025	32400	267000
A01006394	2025	32500	146000
A01006394	2025	32580	1000
A01006394	2025	32582	1000
A01006394	2025	32590	145000
A01006394	2025	40100	432000
A01006394	2025	40500	8000
A01006394	2025	40600	-479000
A01006394	2025	40700	-58000
A01006394	2025	40800	-1000
A01006394	2025	41400	14000
A01006394	2025	41490	14000
A01006394	2025	41500	-2000
A01006394	2025	41900	74000
A01006394	2025	49100	-98000
A01006394	2025	49200	12000
A01006394	2025	49300	-86000
A01006394	2025	49500	-12000
A01006394	2025	94705	60
A01009612	2024	10000	1466949.82
A01009612	2024	11000	553581.08
A01009612	2024	11200	228045.39
A01009612	2024	11500	325535.69
A01009612	2024	12000	913368.74
A01009612	2024	12300	141601.27
A01009612	2024	12380	141601.27
A01009612	2024	12382	141601.27
A01009612	2024	12700	771767.47
A01009612	2024	20000	1348743.04
A01009612	2024	21000	1348743.04
