REG_NUMBER	COMPANY_NAME	SURNAME1	SURNAME2	CODE	SHORT_ES	LONG_ES	LONG_EN	TRADE_NAME	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	PHONE	URL	COORDINATE_X	COORDINATE_Y	PRECISION	EMPLOYEES	ACTIVITY_CODE	ACTIVITY_DESCRIPTION	ACTIVITY_CODE_2	ACTIVITY_DESCRIPTION_2	ACTIVITY_CODE_3	ACTIVITY_DESCRIPTION_3	CORPORATE_PURPOSE	COD_CONFIRMED_STATUS	CONFIRMED_STATUS	CONFIRMED_STATUS_DATE	COD_TRADING_STATUS	TRADING_STATUS	TRADING_STATUS_DATE	COD_INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDINGS	INSOLVENCY_PROCEEDING_DATE	INDIV_LATEST_FILED_ACCOUNTS	INDIV_LATEST_FILED_ACCOUNTS_YEAR	ACTIVITY_START_DATE	PARENT_COMPANY_REG_NUMBER	PARENT_COMPANY_NAME	PARENT_COMPANY_LEGAL_FORM	INDIC_INDIVID_BALANC_SHEET_AUDIT	INDIVIDUAL_BALANCE_SHEET_AUDITOR	OP_INDIVID_BALANC_SHEET_AUDIT
A0051199H	BANCO DI NAPOLI			36	Sucursal en España	Sucursal en España	Branch in Spain															8299	Other business support activities n.e.c.																	03-10-1990						
A01001049	QUINTON HAZELL ESPAÑA			20	SA	Sociedad Anónima	Public Limited Company	KLARIUS	CALLE	VITORIA	8		01400	LLODIO	ARABA	944889210						2932	Manufacture of other components, parts and accessories for motor vehicles					Import-Export, Fabricacion Y Venta De Todo Tipo De Piezas De Repuesto, Recambios Y Accesorios, En La Industria De La Automocion; Asesoramiento Tecnico-Industrial, Informatica, Asesoria Industrial Y Comercial.-	02	We have confirmed that this firm is active, but it has not provided us with information.	06FEB2013	4	Disolution.Other Reasons	11JUN2013	36	[APL] BANKRUPTCY SITUATION/APPROVED LIQUIDATION PLAN	29OCT2013	2011	14NOV2012	01-01-1943						
A01005529	LAYRO			20	SA	Sociedad Anónima	Public Limited Company	LAYRO	AVDA	DE LOS OLMOS	1	EDIFICIO D 3 , 1º, OFI	01013	VITORIA-GASTEIZ	ARABA	945137426	https://www.lyrsa.es	-2.652420000	42.873292000	12	5	8299	Other business support activities n.e.c.	8299	Other business support activities n.e.c.	6812	Real estate development	La Adquisicion, Promocion, Transmision, Explotacion Y Arrendamiento De Todo Tipo Y Clase De Fincas Rusticas Y Urbanas, Locales D Enegocio, Viviendas, Naves Industriales Y De Solares Y, En General, Todos Los Trabajos Y Negocios Relacionados Con La Actividad Urbanistica Y La Industria De La Construccion.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	18MAY2022							2024	14NOV2025	23-09-1967						
A01006394	COPISA INFRASTRUCTURES			20	SA	Sociedad Anónima	Public Limited Company	EASA	PLAZA	EUROPA	2	4	08902	HOSPITALET DE LLOBREGAT (L)	BARCELONA	934930100	http://www.estruaragon.com	-3.682464400	40.457516500		7	4211	Road and highway construction	4101	Construction of residential buildings	4212	Construction of surface and subway railroad tracks	La Ejecucion Completa De Obras, Por Cuenta Propia Y A Terceros. Obras Nuevas De Edificacion Urbana, Industrial, Urbanizacion, Saneamiento Y Abastecimiento De Aguas, Excavaciones, Movimientos De Tierras Y Similares. Etc.	02	We have confirmed that this firm is active, but it has not provided us with information.	27AUG2018							2025	11JUN2026	10-07-1969	B24997611	AURO25	Limited Company			
A01008804	LINAGE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	GENERAL ALAVA	7	1 OFC 16	01005	VITORIA-GASTEIZ	ARABA	945242158		-2.672135000	42.845060000	12		2891	Manufacture of machinery for the metallurgical industry						02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2008	01JUL2009	29-09-1973						
A01009612	MADERAS DEL NORTE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	BEKOLARRA 6	S/N		01010	VITORIA-GASTEIZ	ARABA	945240900		-2.716044000	42.859337000	12		6820	Renting of real estate for own account	4683	Wholesale trade of wood, building materials and sanitary ware			La Adquisicion, Urbanizacion, Parcelacion, Construccion En General; Promocion Y Fomento De Empresas; Suscripcion De Titulos De Renta Fija Emitidos Por Las Entidades O Agrupaciones En Las Que Participe; Asi Como La Concesion De Prestamos; La Prestacion De Servicios De Asistencia Tecnica, Asesoramien.	02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	05NOV2025	11-11-1974						
A01014778	CATARAIN			20	SA	Sociedad Anónima	Public Limited Company		CALLE	EL PRADO 8	S/N		01005	VITORIA-GASTEIZ	ARABA	945281409						6820	Renting of real estate for own account	4399	Other specialized construction activities n.e.c.	6831	Brokerage services for real estate activities	Promocion, Estudio, Asesoramiento, Financiacion, Gestion Y Ejecucion De Toda Suerte De Proyectos Inmobiliarios De Urbanizacion, De Edificacion Y De Construccion En General: Arrendamiento Y Enajenacion De Toda Clase De Inmuebles Y Fincas, Rusticas O Urbanas, Fabricacion, Comercializacion Y Explotacion De Productos Tecnicos, Bienes Y Materiales, Principalmente Para La Construccion	02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2025	24JUN2026	01-01-1990						
A01020759	ESTACION DE SERVICIO MUÑOZ			20	SA	Sociedad Anónima	Public Limited Company		CTRA	VITORIA	24	B	01110	CAMPEZO	ARABA	945415045		-2.356778000	42.670170000	12	6	4681	Wholesale trade of solid, liquid and gaseous fuels and similar products						04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	06APR2017							2024	04SEP2025	01-01-1981						
A01023167	EMPRESA DE SERVICIOS ALAVESES			20	SA	Sociedad Anónima	Public Limited Company		CALLE	REYES CATOLICOS	2	B	01002	VITORIA-GASTEIZ	ARABA	945263300		-2.670170000	42.854714000	12		4681	Wholesale trade of solid, liquid and gaseous fuels and similar products	5630	Beverage services	4730	Retail trade of automotive fuels	La Venta Y Distribucion De Carburantes.	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	18JUL2025	01-01-1995						
A01025741	CENTRO PARA EL AHORRO Y DESARROLLO ENERGETICO Y MINERO			20	SA	Sociedad Anónima	Public Limited Company		ALAM	URQUIJO	36	1 EDF PLAZA BIZKAIA	48008	BILBAO	BIZKAIA	944035600	http://www.eve.eus/	-2.937009000	43.260313000	12		7499	All other professional, scientific and technical activities n.e.c.	7111	Architectural technical services				02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2024	23JUN2025	29-03-1983				S	PKF ATTEST SERVICIOS EMPRESARIALES, S.L.	Favourable opinion
A01031293	GASTEIZKO BATZOKIA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SAN PRUDENCIO	3	BAJO	01005	VITORIA-GASTEIZ	ARABA	688616643		-2.673906000	42.844185000	12	1	6820	Renting of real estate for own account	6820	Renting of real estate for own account													2024	02SEP2025	01-01-1985						
A01032069	BARREDO HERMANOS			20	SA	Sociedad Anónima	Public Limited Company	B H	SITIO	TERMINO SANTA ENGRACIA	S/N		01230	IRUÑA DE OCA	ARABA	945355262		-2.815563494	42.794137080	21		4661	Wholesale trade of agricultural machinery, equipment and supplies	4621	Wholesale trade of cereals, raw tobacco, seeds and animal feedstuffs	4941	Transport of goods by road		04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	31DEC2025	6	Disolution.Court Decission	06MAY2021				2013	03JAN2014	20-01-1986						
A01034784	PRECOCINADOS TERE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	GORBEA	50	BAJO	01012	VITORIA-GASTEIZ	ARABA	945226644	http://www.precocinadostere.com	-2.679019000	42.854556000	12	4	1085	Preparation of prepared meals and dishes	1085	Preparation of prepared meals and dishes	5621	Occasional catering services		02	We have confirmed that this firm is active, but it has not provided us with information.	10DEC2018							2024	11SEP2025	01-01-1986						
A01037852	NEMAC			20	SA	Sociedad Anónima	Public Limited Company		PSAJE	DE FATIMA	4		46810	ENGUERA	VALENCIA	945142576		-0.689190500	38.978626500	1		9200	Gambling and betting activities						02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	05NOV2025	26-06-1987						
A01039874	AURELIO ARCARAZO			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SAN IGNACIO DE LOYOLA	25	BAJO	01008	VITORIA-GASTEIZ	ARABA	945144680		-2.672743000	42.852998000	12		6820	Renting of real estate for own account	4683	Wholesale trade of wood, building materials and sanitary ware	4684	Wholesale trade of hardware, plumbing and heating supplies and equipment		03	We have obtained information from this firm, but according to the firm, the company is not operational.	19DEC2019							2024	30JUL2025	01-01-1987						
A01043306	MENDIXURI			20	SA	Sociedad Anónima	Public Limited Company		CALLE	HERMINIO MADINABEITIA	16	18 , PABELLON 13	01006	VITORIA-GASTEIZ	ARABA	945232477		-2.671291000	42.837075000	12		4778	Retail trade of other new products					La Realizacion, Diseño Y Comercializacion De Programas Culturales, Exposiciones, Conferencias, Simposiums, Presentaciones De Arte, Etc..., Diseño De Programas De Comunicacion; Diseño Grafico; Exposicion, Difusion Y Comercializacion; Diseño De Programas De Imagen; Exposicion, Difusion Y Comercializa.	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006	9	Reactition.la Sssignment of Assets and Liabilities	02OCT2007				2024	13AUG2025	01-01-1988						
A01044064	INDEKAN			20	SA	Sociedad Anónima	Public Limited Company		CALLE	RAMON ORTIZ DE ZARATE	S/N		01005	VITORIA-GASTEIZ	ARABA			-2.673175021	42.843922382	22		4751	Retail trade of textiles					Comercio De Confecciones, Tejidos, Calzado; Compraventa De Inmuebles; Construccion En General; Asesoramiento Financiero, Fiscal Contable, Laboral Y Patrimonial, Comercio De Valores Mobiliarios.										2024	14AUG2025	01-01-1989						
A01054014	JUSTINO DOMAICA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	POSTAS	25		01004	VITORIA-GASTEIZ	ARABA	945283499		-2.669038000	42.845726000	12		4777	Retail trade of watch and jewelry articles	4778	Retail trade of other new products			Compra-Venta Al Por Menor De Articulos De Joyeria Y Relojeria	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2021	16JUN2023	26-10-1989						
A01055714	AGROCARTO			20	SA	Sociedad Anónima	Public Limited Company		CALLE	ARKATXA	1	PABELLON 3	01006	VITORIA-GASTEIZ	ARABA	945234981		-2.658080000	42.834502000	12		7112	Technical engineering services and other activities related to technical advice	7111	Architectural technical services			Actividades Relacionadas Con La Cartografia, Topografia Y Fotogrametria.	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2023	11MAR2025	01-01-1990						
A01113505	ARABAKO INDUSTRIALDEA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	UZBINA	24	EDF OFICINAS OFC 13	01015	VITORIA-GASTEIZ	ARABA	945291215					3	8411	General public administration activities					Estimular Y Promover La Iniciativa Y La Inversion Industrial En El Territorio De Araba, Mediante La Promocion Urbanistica, Construccion De Complejos Industriales De Pabellones Y Edificaciones Complementarias.-	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	15NOV2022							2024	02JUL2025	13-09-1991	A01103118	ALAVA AGENCIA DE DESARROLLO	Public Limited Company			
A01114891	ALQUILERES VITORIA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	POSTAS	14	1	01001	VITORIA-GASTEIZ	ARABA	945231638		-2.672773000	42.846031000	12		6820	Renting of real estate for own account	6812	Real estate development	8299	Other business support activities n.e.c.	Adquisicion Y Tenencia De Bienes Inmuebles. Percibiendo Las Rentas Y Otros Productos.	02	We have confirmed that this firm is active, but it has not provided us with information.	12NOV2006							2025	08JUL2026	26-07-1991						
A01128131	BOOMING			20	SA	Sociedad Anónima	Public Limited Company		CALLE	MENDIA	10	ACOSTA	01138	ZIGOITIA	ARABA			-2.713695900	42.972105500	21		4682	Wholesale trade of metals and metal ores					Articulo 2º. - Objeto Social. - La Sociedad Tiene Por Objeto Las Siguientes Actividades: A) La Produccion, Realizacion, Distribucion Y Comercializacion De Obras Cinematograficas Y Audiovisuales En General. B) Compra, Venta, Alquiler, Edicion, Reproduccion, Importacion, Exportacion, Distribucion.										2001	01SEP2002	14-10-1992						
A01156546	COMERCIAL AIANOX 2000			20	SA	Sociedad Anónima	Public Limited Company	AIANOX	CTRA	NACIONAL 625	S/N	KM 362	01470	AMURRIO	ARABA	945891311	http://www.aianox.com	-2.987325866	43.079229739	22	8	2452	Steel casting	4682	Wholesale trade of metals and metal ores	2451	Cast iron	La Venta, Comercializacion, Produccion Y Transformacion De Metales, Metaloides Y Sus Aleaciones, Sin M S Excepcion Que La De Los Metales Preciosos.	02	We have confirmed that this firm is active, but it has not provided us with information.	02AUG2012							2024	29SEP2025	31-05-1994						
A01234442	VEHICULOS DEL NORTE			20	SA	Sociedad Anónima	Public Limited Company		CTRA	NACIONAL I	S/N	KM 41 BARRIO YURRE	20212	OLABERRIA	GIPUZKOA	943881797		-2.207736498	43.025249038	22		4781	Retail trade of motor vehicles	4781	Retail trade of motor vehicles	3317	Repair and maintenance of other civil transport equipment	Asistencia, Revision Y Mantenimiento De Automoviles.	01	We have confirmed that this firm is active.	30NOV2017							2024	20OCT2025	27-11-1996						
A01249598	BATSUIDE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PRADO	6	6º DERECHA	01005	VITORIA-GASTEIZ	ARABA			-2.674327000	42.846142000	12		6820	Renting of real estate for own account	6811	Sale and purchase of real estate for own account			Comercio De Bienes Inmuebles. Rusticos O Urbanos.										2024	15JUL2025	11-07-1997						
A01274927	ELPA GESTION			20	SA	Sociedad Anónima	Public Limited Company		CALLE	GEREZPEA	15		01015	VITORIA-GASTEIZ	ARABA			-2.732417000	42.837676000	12		6220	IT consulting and IT facility management activities					Prestacion De Servicios De Asesoramiento Y Consultorio Informatica. Desarrollo De Programas Informaticos. Compraventa De Programas Y Equipos Informaticos.										2004	01SEP2005	12-11-1998						
A01280353	GATZAGAK			20	SA	Sociedad Anónima	Public Limited Company		CALLE	PLAZA DON MIGUEL DIAZ DE TUESTA	S/N		01426	AÑANA	ARABA	615761632						7990	Other reservation services and related activities	0910	Support activities for the extraction of oil and natural gas	8299	Other business support activities n.e.c.	Promocion, Desarrollo Y Mejora De Actividades Del Entorno Socioeconomico De La Villa De Salinas De Añana, Alava, Potenciando Iniciativas Generadoras De Riqueza Y Ocupacion.	01	We have confirmed that this firm is active.	10JUN2010							2025	29JUN2026	12-02-1999						
A01405042	PRAXIS PHARMACEUTICAL			20	SA	Sociedad Anónima	Public Limited Company		CALLE	ARKAUTE	5		01192	VITORIA-GASTEIZ	ARABA	945233416	http://www.grupo-praxis.com	-2.643031000	42.850005000	15	1	4646	Wholesale trade of pharmaceutical and medical products	4646	Wholesale trade of pharmaceutical and medical products	2120	Manufacture of pharmaceutical specialties	El Desarrollo, La Compraventa, Comercializacion Y Distribucion De Productos Farmaceuticos Y Parafarmaceuticos, La Importacion Y Exportacion De Los Mismos, Y La Prestacion De Servicios Logistica Para La Distribucion Y De Procesamiento De Datos.	04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	23JUL2024							2024	01DEC2025	15-06-2006						
A02000974	BANCO DE ALBACETE			20	SA	Sociedad Anónima	Public Limited Company		AVDA	CANTABRIA	S/N		28660	BOADILLA DEL MONTE	MADRID	913422881		-3.848824900	40.391181000	7		6492	Other lending activities					Recibir Fondos Del Publico En Forma De Deposito, Prestamo, Cesion Temporal De Activos Financieros U Otras Actividades Analogas Que Lleven Aparejada La Obligacion De Su Restitucion, Aplicandolos Por Cuenta Propia A La Concesion De Creditos U Operaciones De Analoga Naturaleza										2024	11SEP2025	10-11-1943						
A02003408	FRIGORIFICOS MANCHEGOS			20	SA	Sociedad Anónima	Public Limited Company		CTRA	CASAS IBAÑEZ	8	02005	02005	ALBACETE	ALBACETE			-1.862306700	39.008147300	5		5630	Beverage services					A) Desarrollar Actividades Vinculadas Al Desarrollo Urbanisticode Las Parcelas De Suelo Propiedad De La Mercantil, En Atenciona Las Nuevas Necesidades Y Fines Societarios Derivados De Laexplotacion Urbanistica De Dichos Activos, Y En Concreto Las Siguientes:a. Planificacion Y Gestion Urbanis.										2024	11FEB2026	01-01-1967						
A02011500	APARCAMIENTOS ALBACETE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SUBTERRANEA COMPLEJO DE VILLACERRADA	S/N		02001	ALBACETE	ALBACETE	967237517		-1.945842233	38.958649192	23	7	5221	Activities auxiliary to land transportation						04	It has not been possible to locate this firm with the contact details we have, and we have no information indicating that it is operating elsewhere.	15DEC2023							2024	01SEP2025	21-12-1981						
A02032514	AGROPECUARIA CASA DE LA PANDA			20	SA	Sociedad Anónima	Public Limited Company		CALLE	INSULA BARATARIA	15		02006	ALBACETE	ALBACETE	967221938		-1.861597200	38.982665100	1		0150	Agricultural production combined with livestock production															2024	16OCT2025	01-01-1983						
A02032522	AGROPECUARIA CASA DE LAS IDEAS			20	SA	Sociedad Anónima	Public Limited Company		CALLE	FRANCISCO PIZARRO	9		02004	ALBACETE	ALBACETE			-1.861644400	38.993397700	1		0119	Other non-perennial crops															2024	11SEP2025	01-01-1983						
A02052090	INMOBILIARIA DE ALBACETE			20	SA	Sociedad Anónima	Public Limited Company		CALLE	TEODORO CAMINO 21	S/N		02002	ALBACETE	ALBACETE	967661737		-1.855090800	38.991109200	1	2	6812	Real estate development	6831	Brokerage services for real estate activities				02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	14AUG2025	11-05-1987						
A02055150	ALBAIN			20	SA	Sociedad Anónima	Public Limited Company		CALLE	SAN AGUSTIN	14	, 1º,F	02001	ALBACETE	ALBACETE	967607626	http://www.albain.es	-1.852530000	38.993656500	1	9	6812	Real estate development	4101	Construction of residential buildings			Promocion, Construccion De Viviendas, De Proteccion Oficial Como Libres, Sin Limitacion, Como Locales De Negocios Y Edificaciones, Obras Y Construcciones De Todo Tipo, Explotacion, Arrendamiento, Venta, Enajenacion, Albañileria.	02	We have confirmed that this firm is active, but it has not provided us with information.	27NOV2015							2025	13APR2026	01-08-1987						
A02057354	AGRICOLA OLIVARES			20	SA	Sociedad Anónima	Public Limited Company		CALLE	OBRA PIA 5	S/N		02520	CHINCHILLA DE MONTE ARAGON	ALBACETE	967260024		-1.725959600	38.921015600	1	1	0111	Cereal crops, other than rice, leguminous and oilseed crops	0150	Agricultural production combined with livestock production				02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	19JAN2026	03-11-1987						
A02062602	CANJI			20	SA	Sociedad Anónima	Public Limited Company		POLIG	CAMPOLLANO C	5		02007	ALBACETE	ALBACETE	967218112		-1.882389000	39.010351000	14		6820	Renting of real estate for own account						01	We have confirmed that this firm is active.	24OCT2012							2024	08SEP2025	09-03-1988						
A02064665	ALBASISAN			20	SA	Sociedad Anónima	Public Limited Company		CALLE	TORRES QUEVEDO 37	S/N		02003	ALBACETE	ALBACETE	967230833		-1.861729600	38.990402000	15		6499	Other financial services, except insurance and pension funding n.e.c.					1. La Realizacion De Actividades De Inversion Y Transaccion Patrimonial, De Tipo Mobiliario E Inmobiliario, Excepto Las Reservadas A Sociedades De Inversion Colectiva Y Sociedades Reguladas Por La Ley De Mercado De Valores. 2. La Gestion, Administracion Y Arrendamiento, Salvo El Financiero, De Todo.	02	We have confirmed that this firm is active, but it has not provided us with information.	23MAY2011							2024	03OCT2025	01-01-1988						
A02070233	BAEZ Y CASTILLO			20	SA	Sociedad Anónima	Public Limited Company		CALLE	BLASCO DE GARAY	11	2 IZQ	02003	ALBACETE	ALBACETE	967220361					1	6820	Renting of real estate for own account															2025	30JUN2026	01-01-1988						
A02070605	COBROMAN			20	SA	Sociedad Anónima	Public Limited Company		CALLE	MARTINEZ VILLENA	21		02001	ALBACETE	ALBACETE			-1.854458900	38.995330800	1		4712	Other non-specialized retail trade	4941	Transport of goods by road			La Gestion De Cobros De Recibos, Confeccion De Facturas, Reparto De Correspondencia, Contratacion De Toma De Lecturas, Cortes De Suministros, Colocacion E Inspeccion De Equipos De Medida, Gestion Y Mantenimiento Con Empreas.										2024	29AUG2025	01-01-1988						
A02102044	AGRICOLA TORRE ALVAR RUIZ			20	SA	Sociedad Anónima	Public Limited Company		CALLE	INMACULADA	2		02320	BALAZOTE	ALBACETE	967509888		-2.152020500	38.884264700	1		0161	Agricultural support activities					Explotacion Y Transformacion, Por Cuenta Propia O Ajena O En Arrendamiento, De Toda Clases De Fincas Rusticas, Instalacion De Sistema De Riego; La Explotacion De Granjas Avicolas O Ganaderas. Realiza La Actividad De Forma Positiva	02	We have confirmed that this firm is active, but it has not provided us with information.	15JAN2013							2024	16FEB2026	01-01-1989						
A02146223	ESTACION DE SERVICIO DIAZ LOPEZ			20	SA	Sociedad Anónima	Public Limited Company		CTRA	HELLIN AL BALLESTERO	S/N	KM 20 HM 5	02400	HELLIN	ALBACETE			-1.742652200	38.491174400	7		4730	Retail trade of automotive fuels					Venta De Gasolina, Gasoleos Y Lubricantes Para La Automocion. Y La Venta De Accesorios, Recambios Y Demas Elementos Relacionados Con La Industria Del Automovil.										2023	09SEP2024	23-05-1991						
