REG_NUMBER	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION
A01005529	AV	LOS OLMOS	1	OF 12	01013	VITORIA-GASTEIZ	ALAVA	-2.6534	42.873686	1
A01006394	PL	EUROPA	2		08902	L'HOSPITALET DE LLOBREGAT	BARCELONA	2.126067	41.358669	1
A01009612	CL	BEKOLARRA	6	B	01010	VITORIA-GASTEIZ	ALAVA	-2.714457	42.858076	1
A01014778	CL	EL PRADO	8	1	01005	VITORIA-GASTEIZ	ALAVA	-2.674506	42.846073	1
A01020759	CR	VITORIA SANTA C	24	B	01110	SANTA CRUZ DE CAMPEZO/SANTIKURUTZE KANPEZU	ALAVA	-2.36074311	42.68691942	5
A01023167	CL	REYES CATOLICOS	999		01002	VITORIA-GASTEIZ	ALAVA	-2.65315895	42.85012887	6
A01025741	AL	URQUIJO	36	1	48011	BILBAO	VIZCAYA	-2.936937	43.260685	1
A01034784	CL	GORBEA	50	B	01012	VITORIA-GASTEIZ	ALAVA	-2.678929	42.854541	1
A01037852	CL	TXIRULA	4		01006	VITORIA-GASTEIZ	ALAVA	-2.665861	42.838105	1
A01043306	CL	HERMINIO MADINAVEITIA	18	B	01006	VITORIA-GASTEIZ	ALAVA	-2.671397	42.837076	1
A01113505	CL	UZBINA	24	13	01015	VITORIA-GASTEIZ	ALAVA	-2.74158	42.835367	3
A01114891	CL	POSTAS	14	1	01001	VITORIA-GASTEIZ	ALAVA	-2.673124	42.846042	1
A01156546	CL	URIETA KALEA	5	1	01470	AMURRIO	ALAVA	-2.999496	43.077663	1
A01234442	BO	YURRE CTRA	1	KM 417 00	20212	OLABERRIA	GIPUZKOA	-2.20678957	43.02417699	5
A01274927	CL	GEREZPEA	15	B	01015	VITORIA-GASTEIZ	ALAVA	-2.732282	42.83774	1
A01280353	CL	SALINAS A ANA			01426	SALINAS DE AÑANA/GESALTZA AÑANA	ALAVA	-2.99154157	42.8136566	5
A01405042	CR	NACIONAL 104	5		01192	ARKAUTI/ARCAUTE	ALAVA	-2.56516291	42.87055953	6
A02000974	AV	CANTABRIA CIUD GRUP SANT		1	28660	BOADILLA DEL MONTE	MADRID	-3.87285608	40.40220278	6
A02011500	UR	VILLACERRADA			02006	ALBACETE	ALBACETE	-1.91929179	38.94058077	6
A02052090	CL	TEODORO CAMINO	21		02002	ALBACETE	ALBACETE	-1.855234	38.991163	1
A02055150	CL	SAN AGUSTIN	14	1 F	02001	ALBACETE	ALBACETE	-1.851955	38.994032	1
A02062602	CL	C (CAMPOLLANO)	5		02006	BACARIZA (ALBACETE)	ALBACETE	-1.91929179	38.94058077	6
A02064665	CL	TORRES QUEVEDO	37	5 C	02003	ALBACETE	ALBACETE	-1.861898	38.990354	1
A02070233	CL	BLASCO DE GARAY	11	2 IZQUIERDA	02003	ALBACETE	ALBACETE	-1.859105	38.991723	1
A02151868	PQ	EMPRESARIAL CAMPOLLANO CA	6		02007	ALBACETE	ALBACETE	-1.88163173	39.01988415	6
A02157808	CL	EL CURA	7	EN	02001	ALBACETE	ALBACETE	-1.857101	38.995686	1
A02182715	AV	EUROPA	18		28108	ALCOBENDAS	MADRID	-3.656841	40.515149	1
A02198232	PS	CIRCUNVALACION	103		02003	ALBACETE	ALBACETE	-1.864873	38.985562	1
A02240307	CL	LIBERTAD	20		02400	HELLIN	ALBACETE	-1.698452	38.510692	1
A03006897	CL	LA MAR	9	BAJO	03590	ALTEA	ALICANTE	-0.048158	38.599518	1
A03008059	AV	DOCTOR RAMON YCAJAL	6	7 IZQUIERDA	03003	ALICANTE/ALACANT	ALICANTE	-0.49131184	38.3415593	6
A03020948	AV	MAISONNAVE	18	6 4	03003	ALICANTE/ALACANT	ALICANTE	-0.490675	38.343575	1
A03065745	AV	MAISONNAVE	41	5	03003	ALICANTE/ALACANT	ALICANTE	-0.492172	38.343292	1
A03124864	AV	ALMIRALL BERNAT DE SARRIA	8	1	03503	BENIDORM	ALICANTE	-0.110751	38.540485	1
A03134806	AV	SEGOVIA	67	BAJO	47013	VALLADOLID	VALLADOLID	-4.720292	41.640782	1
A03160454	AV	PAIS VALENCIA	4		03720	BENISSA	ALICANTE	0.05797	38.716385	1
A03182383	PD	CANASTELL	137		03690	SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG	ALICANTE	-0.53449307	38.42720432	6
A03182557	CL	MARQUES DE CAMPO	36	BAJO	03700	DENIA	ALICANTE	0.108925	38.840407	1
A03199056	CL	ANGEL	2		03203	ELCHE/ELX	ALICANTE	-0.698607	38.26254	1
A03319019	CL	DOCTOR PEREZ MATEO	5	4 6 A	03550	SANT JOAN D'ALACANT	ALICANTE	-0.435863	38.394693	1
A03324035	AV	CUENCA	14		03503	BENIDORM	ALICANTE	-0.116773	38.53982	1
A03349768	AV	JUAN CARLOS I	20	BAJO	03710	SAN GABRIEL	ALICANTE	0.071457	38.641901	1
A03404324	AV	PAIS VALENCIA	210		03720	BENISSA	ALICANTE	0.046528	38.713405	1
A03408325	AV	CREVILLENTE	71		03205	ELCHE/ELX	ALICANTE	-0.72426184	38.26443219	6
A03415817	CL	CALDERON DE LA BARCA	17		03004	ALICANTE/ALACANT	ALICANTE	-0.485797	38.349735	1
A03417524	RD	MURALLES	17		03700	DENIA	ALICANTE	0.102687	38.841853	1
A03442506	CL	ARGENTINA UR PANORAMA	1	L 7	03530	LA NUCIA	ALICANTE	-0.12040992	38.60073754	6
A03460201	CL	MUNTANER 293	295	5 1	08021	BARCELONA	BARCELONA	2.08290324	41.41751966	6
A03468246	LG	CAMPOAMOR		EDIFICIO TURIA	03300	ORIHUELA	ALICANTE	-0.94229262	38.08696221	6
A03477114	CL	BARRERA	10		03410	BIAR	ALICANTE	-0.766746	38.627349	1
A03497070	CL	CALDERON	1		03700	DENIA	ALICANTE	0.110822	38.840591	1
A03843992	CL	PEDRO DE VALDIVIA	31		28006	MADRID	MADRID	-3.679384	40.438722	1
A04005302	CR	A-92A	125		04410	BENAHADUX	ALMERIA	-2.47385646	36.91605715	6
A04015129	LG	LLANO DE LA HERRA	23		04869	LLANO DE LA HERRA	ALMERIA	-2.26752824	37.36541994	5
A04021457	AV	OASIS	37		04700	EL EJIDO	ALMERIA	-2.800115	36.772222	1
A04033353	CL	LEANDRO FERNANDEZ MORATIN	3		04007	ALMERIA	ALMERIA	-2.450361	36.835651	1
A04037321	CL	CARDENAL HERRERA ORIA	11		04005	ALMERIA	ALMERIA	-2.455651	36.840787	1
A04037867	AV	BULEVAR DE EL EJIDO	332		04700	EL EJIDO	ALMERIA	-2.812853	36.77337	1
A04043352	CL	ALTAMIRA	5	1	04005	ALMERIA	ALMERIA	-2.458799	36.838061	1
A04050019	CL	JOSE MORALES ABAD		EDIFICIO JARQ	04007	ALMERIA	ALMERIA	-2.457393	36.832414	3
A04055828	CL	PASAJE DEL LIBRO	2	3	04770	ADRA	ALMERIA	-3.01588958	36.74732652	5
A04061008	CR	RONDA			04620	VERA	ALMERIA	-1.857561	37.240462	3
A04062667	CL	CUENCA	6		04740	ROQUETAS DE MAR	ALMERIA	-2.614106	36.757652	1
A04101382	CL	CAMINO INGENIO	21		04770	ADRA	ALMERIA	-3.013166	36.746282	1
A04101952	CL	SANTIAGO BERNABEU	4		04410	BENAHADUX	ALMERIA	-2.47632821	36.91350929	5
A04110789	AV	BULEVAR DE EL EJIDO	210		04700	EL EJIDO	ALMERIA	-2.818178	36.772531	1
A04115812	AV	MARIANO HERNANDEZ UR ROQ	15		04740	ROQUETAS DE MAR	ALMERIA	-2.62520844	36.75592418	6
A04119715	BU	CIUDAD DE VICAR	1012		04738	LA GANGOSA	ALMERIA	-2.633974	36.803197	1
A04121943	PS	PALMERAL AGUADULCE	4	6 B	04720	EL PARADOR DE LAS HORTICHUELAS	ALMERIA	-2.5853567	36.82625119	6
A04203923	CR	NACIONAL 340		KM 410,2	04700	EL EJIDO	ALMERIA	-2.81208198	36.77241848	6
A04267001	LG	LA CUMBRE			04717	SAN AGUSTIN (EL EJIDO)	ALMERIA	-2.72536931	36.70828139	5
A04334934	AV	FEDERICO GARCIA LORCA	92	7 B	04005	ALMERIA	ALMERIA	-2.458399	36.840764	1
A05004189	CL	VIRIATO	55	5 E	28010	MADRID	MADRID	-3.697629	40.43574	1
A05014568	CL	PASEO DE LA ESTACION	17		05001	ALAMEDILLA DEL BERROCAL	AVILA	-4.685986	40.657078	1
A05017454	CL	EL TOMILLAR	1		05200	AREVALO	AVILA	-4.708649	41.050833	1
A05021381	CL	LOS REGAJALES	1		05400	ARENAS DE SAN PEDRO	AVILA	-5.076692	40.208616	1
A05025879	CL	REVENTON	2		05480	CANDELEDA	AVILA	-5.243199	40.157126	1
A06004246	CL	FRANCISCO PIZARRO	56	1 A	06200	ALMENDRALEJO	BADAJOZ	-6.405951	38.680943	3
