REG_NUMBER	SUBSIDIARY_FULL_REG_NUMBER	SUBSIDIARY_COMPANY_NAME	SUBSIDIARY_LEGAL_FORM	DIRECT_INTEREST_PERCENTAGE	INDIRECT_INTEREST_PERCENTAGE	TOTAL_INTEREST_PERCENTAGE	SUBSIDIARY_TYPE	COD_ISO_2	COUNTRY
A01025741	V19934488	AIARAKO EKIAN	Economic Interest Grouping	0.00	0.00	30.00	Associate	ES	SPAIN
A01025741	A01580562	AIXEINDAR	Public Limited Company	0.00	0.00	40.00	Associate	ES	SPAIN
A01025741	B10551265	BASQUE HYDROGEN	Limited Company	0.00	0.00	24.50	Associate	ES	SPAIN
A01025741	B95296513	BILBAO EXHIBITION CENTRE SOLAR SOCIEDAD LIMITADA MEDIO PROPIO	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A01025741	B72893100	EGUZKIND	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A01025741	V01569664	EKIAN FOTOVOLTAICA	Economic Interest Grouping	0.00	0.00	4.16	Does not inform	ES	SPAIN
A01025741	B01582394	EKIENEA	Limited Company	0.00	0.00	18.00	Associate	ES	SPAIN
A01025741	B02935443	EKIOLA ENERGIA SUSTAPENAK	Limited Company	0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	F20859807	INDARBERRI	Cooperative	0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	B67790881	MEDUSA ALTERNATIVAS DE SUMINISTRO ELECTRICO	Limited Company	0.00	0.00	49.90	Associate	ES	SPAIN
A01025741		METABERN, S.A.		0.00	0.00	25.00	Associate	ES	SPAIN
A01025741	B56949597	ZURBEROA ENERGIA	Limited Company	0.00	0.00	50.00	Associate	ES	SPAIN
A03124864	A03934353	BENMAR HOTELES	Public Limited Company	0.00	0.00	80.82	Dependent	ES	SPAIN
A03124864	B97389209	INVERSIONES HOTELERAS CARIBEÑAS	Limited Company	0.00	0.00	62.46	Dependent	ES	SPAIN
A03124864		PROMOCIONES TURISTICAS AMATORIO, SA		0.00	0.00	42.44	Associate	ES	SPAIN
A03324035	B03022704	OASIS	Limited Company	0.00	0.00	79.48	Dependent	ES	SPAIN
A07040223	B16163438	ALZA OBRAS Y SERVICIOS	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	B84448000	ALZA PARQUE TECNOLOGICO	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	B86523065	CARIBBEAN RESORT AND GOLF	Limited Company	10.00	0.00	10.00	Associate		
A07040223	B16103889	DULCINEA 2015 REAL ESTATE	Limited Company	91.62	0.00	91.62	Dependent		
A07040223	B19209634	NYOS GESTION INMOBILIARIA	Limited Company	99.99	0.00	99.99	Dependent		
A07040223	B62425483	RICART PARC CENTRAL	Limited Company	100.00	0.00	100.00	Dependent		
A07040223	A08049793	URBAS GRUPO FINANCIERO	Public Limited Company	13.25	0.00	13.25	Associate		
