REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A01001049	1	CL	VITORIA	8		01400	LLODIO	ARABA				CL	VITORIA	8		01400	LLODIO	ARABA			
A01005529	1	AV	DE LOS OLMOS	1	EDIFICIO D 3 , 1º, OFI	01013	VITORIA-GASTEIZ	ARABA	-2.652420000	42.873292000	12	CL	MONSEÑOR ESTENAGA	6		01002	VITORIA-GASTEIZ	ARABA			12
A01006394	1	PZ	EUROPA	2	4	08902	HOSPITALET DE LLOBREGAT (L)	BARCELONA	-3.682464400	40.457516500		CL	FRANCISCO MARTINEZ SORIA	1	LOCAL	50018	ZARAGOZA	ZARAGOZA			
A01020759	1	CR	VITORIA	24	B	01110	CAMPEZO	ARABA	-2.356778000	42.670170000	12	CR	VITORIA	24	B	01110	CAMPEZO	ARABA			
A01032069	2	SI	TERMINO SANTA ENGRACIA	S/N		01230	IRUÑA DE OCA	ARABA	-2.815563494	42.794137080	21	CR	NACIONAL I,  KM 321	s/n		09200	MIRANDA DE EBRO	BURGOS	-2.940355	42.690208	22
A01032069	2	SI	TERMINO SANTA ENGRACIA	S/N		01230	IRUÑA DE OCA	ARABA	-2.815563494	42.794137080	21	SI	TERMINO SANTA ENGRACIA	s/n		01230	IRUÑA DE OCA	ARABA	-2.815563	42.794137	21
A01034784	1	CL	GORBEA	50	BAJO	01012	VITORIA-GASTEIZ	ARABA	-2.679019000	42.854556000	12	CL	GORBEA	50	BAJO	01012	VITORIA-GASTEIZ	ARABA			
A01037852	1	CL	TXIRULA	4		01006	VITORIA-GASTEIZ	ALAVA	-2.665861000	42.838105000	1	CR	MADRID VALENCIA	168		16730	HONRUBIA	CUENCA	-2.268500	39.606052	5
A01039874	2	CL	SAN IGNACIO DE LOYOLA	25	BAJO	01008	VITORIA-GASTEIZ	ARABA	-2.672743000	42.852998000	12	CL	LARRAGANA	12	PABELLON 18	01013	VITORIA-GASTEIZ	ARABA	-2.673302	42.864922	
A01039874	2	CL	SAN IGNACIO DE LOYOLA	25	BAJO	01008	VITORIA-GASTEIZ	ARABA	-2.672743000	42.852998000	12	CL	SAN IGNACIO DE LOYOLA	25	BAJO	01008	VITORIA-GASTEIZ	ARABA	-2.672668	42.853069	
A01043306	1	CL	HERMINIO MADINAVEITIA	18	B	01006	VITORIA-GASTEIZ	ALAVA	-2.671397000	42.837076000	1	CL	RAMIRO DE MAEZTU	10	B	01008	VITORIA-GASTEIZ	ALAVA	-2.678684	42.847552	1
A01113505	1	CL	UZBINA	24	EDF OFICINAS OFC 13	01015	VITORIA-GASTEIZ	ARABA				CL	CALLE UZBINA 24 EDF OFICINAS OFC	s/n		01015	VITORIA-GASTEIZ	ARABA			
A01156546	1	CR	NACIONAL 625	S/N	KM 362	01470	AMURRIO	ARABA	-2.987325866	43.079229739	22	CL	MARKIJANA	63		01479	AYALA	ARABA			
A01234442	1	CR	NACIONAL I	S/N	KM 41 BARRIO YURRE	20212	OLABERRIA	GIPUZKOA	-2.207736498	43.025249038	22	CR	NACIONAL I	417	BARRIO YURRE	20212	OLABERRIA	GIPUZKOA			
A01274927	1	CL	GEREZPEA	15	B	01015	VITORIA-GASTEIZ	ALAVA	-2.732282000	42.837740000	1	CL	ALCALA	117	BJIZ	28009	MADRID	MADRID	-3.614656	40.445552	1
A01280353	2	CL	PLAZA DON MIGUEL DIAZ DE TUESTA	S/N		01426	AÑANA	ARABA				CL	CERCA ALTA	2	BAJO	01426	AÑANA	ARABA			
A01280353	2	CL	PLAZA DON MIGUEL DIAZ DE TUESTA	S/N		01426	AÑANA	ARABA				CL	SALINAS DE AÑANA	s/n		01426	AÑANA	ARABA			
A01405042	3	CL	ARKAUTE	5		01192	VITORIA-GASTEIZ	ARABA	-2.643031000	42.850005000	15	AV	CASTILLA	2	PARQUE EMPRESARIAL SAN FERNANDO DE HENARES  2º EDF. DUBLIN	28830	SAN FERNANDO DE HENARES	MADRID	-3.511131	40.452214	1
A01405042	3	CL	ARKAUTE	5		01192	VITORIA-GASTEIZ	ARABA	-2.643031000	42.850005000	15	AV	CASTILLA	2	PARQUE EMPRESARIAL SAN FERNANDO DE HENARES EDIFICIO HUNGRIA	28830	SAN FERNANDO DE HENARES	MADRID	-3.511131	40.452214	1
A01405042	3	CL	ARKAUTE	5		01192	VITORIA-GASTEIZ	ARABA	-2.643031000	42.850005000	15	CL	HERMANOS LUMIERE	5	PARQ. TEC.MIÑANO	01510	VITORIA-GASTEIZ	ARABA	-2.665081	42.910803	12
A02000974	1	AV	CANTABRIA CIUD GRUP SANT		1	28660	BOADILLA DEL MONTE	MADRID	-3.872856080	40.402202780	6	AV	CANTABRIA		EDIFICIO ARNAZ 1	28660	BOADILLA DEL MONTE	MADRID	-3.868675	40.393619	3
A02011500	1	CL	SUBTERRANEA COMPLEJO DE VILLACERRADA	S/N		02001	ALBACETE	ALBACETE	-1.945842233	38.958649192	23	CL	CL SUBTERRANEA COMPLEJO DE VILLACERRADA	s/n		02049	ALBACETE	ALBACETE			
